text_id,text,synset_id,synset_word
t0000000016,".Улс орны эдийн засагт чухал ач холбогдол бүхий тодорхой салбар, чиглэлийн үйлдвэрлэлийг хөхүүлэн дэмжих, тодорхой нэрийн барааны#0000000016 зах зээлд өрсөлдөх чадварыг нь дээшлүүлэх зорилгоор гаалийн нутаг дэвсгэр дээр гаалийн баталгаат үйлдвэрийн газар байгуулж болно",14,бараа
t0000000017,".Улс орны эдийн засагт чухал ач холбогдол бүхий тодорхой салбар, чиглэлийн үйлдвэрлэлийг хөхүүлэн дэмжих, тодорхой нэрийн барааны зах#0000000017 зээлд өрсөлдөх чадварыг нь дээшлүүлэх зорилгоор гаалийн нутаг дэвсгэр дээр гаалийн баталгаат үйлдвэрийн газар байгуулж болно",25,зах
t0000000018," Хаяанд ирсэн хойно гэрт чинь хүргээд өгье дөө гэхэд Палам түрийвчээ гаргаж#0000000018 тавьтын дэвсгэр авч өгөөд,",16,гар
t0000000019," Хаяанд ирсэн хойно гэрт чинь хүргээд өгье дөө гэхэд Палам түрийвчээ гаргаж тавьтын дэвсгэр авч#0000000019 өгөөд,",1,ав
t0000000020,"Улаанбаатарын авто засварын заводад хүйтэн аргаар хэвлэх технологи нэвтрүүлснээр боолт, гайк зэрэг эд ангийг зорж үрэгдэл гаргахгүйгээр#0000000020 металлын хаягдалгүй үйлдвэрлэл явуулах болж ердийн зорох технологитой зэрэгцүүлэхэд үлэмж хэмжээний металл хэмнэж байна",16,гар
t0000000021,"Нийгмийн халамжийн тэтгэвэр, нөхцөлт мөнгөн#0000000021 тэтгэмж олгох",33,мөнгө
t0000000022,Журмын дагуу иргэн У.Болд  оны арванхоёрдугаар сарын#0000000022 12-ны өдөр Нийслэлийн газрын албатай Дуудлага худалдаанд ялагчтай байгуулах 03 тоот гэрээг байгуулсан байна,43,сар
t0000000023,Тэрбээр энэ гэрээний дагуу газрын төлбөр болох  сая төгрөгийг нийслэлийн Газрын албаны Улаанбаатар хотын банк дахь дансанд тушааж хоёр тал гарын#0000000023 үсэг зурсан байна,17,гар
t0000000024,Тэр нь тухайн газрыг хямд авах#0000000024 нөхцөл болдог юм бол Нийслэлийн газрын алба газрын дуудлага худалдаа явуулах шаардлагагүй байсан юм биш үү,1,ав
t0000000025,Гэвч газраа авч#0000000025 чадаагүй энэхүү тохиолдлыг дуулган доторхи дуудлага худалдаа гэж нэрлэлээ,1,ав
t0000000026,"Улс ардын аж ахуйн гол#0000000026 салбарууд хөдөө аж ахуйн гаралтай түүхий эд, бүтээгдэхүүнийг шаардаж байгаа бөгөөд тэр чанараараа мал аж ахуй, газар тариалангийн үйлдвэрлэлд хяналт нөлөөлөл үзүүлж, хөдөлмөрийн бүтээмжийг дээшлүүлэх, нэгжээс авах ургац, нэг малаас ашиглах ашиг шимийг нэмэгдүүлэхэд чиглэсэн техник зохион байгуулалтын арга хэмжээний урт хугацааны төлөвлөгөөтэй ажиллах ёстой.",19,гол
t0000000027,"Улс ардын аж ахуйн гол салбарууд хөдөө аж ахуйн гаралтай түүхий эд, бүтээгдэхүүнийг шаардаж байгаа бөгөөд тэр чанараараа мал аж ахуй, газар тариалангийн үйлдвэрлэлд хяналт нөлөөлөл үзүүлж, хөдөлмөрийн бүтээмжийг дээшлүүлэх, нэгжээс авах#0000000027 ургац, нэг малаас ашиглах ашиг шимийг нэмэгдүүлэхэд чиглэсэн техник зохион байгуулалтын арга хэмжээний урт хугацааны төлөвлөгөөтэй ажиллах ёстой.",1,ав
t0000000028,"УИХын  дугаар тойрогт Хөвсгөл аймгийн Арбулаг, Бүрэнтогтох, Цэцэрлэг, ЦагаанУул сум болон Хөвсгөл аймгийн төв Мөрөн сумын дөрвөн баг#0000000028 ордог",7,баг
t0000000029,Хөвсгөл аймгийн Засаг даргаас тоо авахаар#0000000029 18200 сонгогчтой гэдэг,1,ав
t0000000030,Энэ хуулийн дагуу бие даан нэр дэвшигч нар ч мөн тойргийн хороондоо бүртгүүлээд эрхээ авах#0000000030 ёстой,1,ав
t0000000031,"Шинэ намууд дөнгөж байгуулагдаад сонгуульд оролцож байгаа нь хуульд нийцсэн явдал мөн үү? Үндсэн хуулийн Цэцээр саяхан Улс төрийн#0000000031 нам байгуулагдаад 18 сар болж байж бүх шатны сонгуульд оролцож болно гэсэн заалт Монгол Улсын Үндсэн хуулийн 16 дугаар зүйлийн 9 дэх хэсгийн ""Төрийн байгууллагад сонгох сонгогдох эрхтэй"" гэсэн заалтыг зөрчиж байна гэсэн дүгнэлт гаргасан",47,төр
t0000000032,"Шинэ намууд дөнгөж байгуулагдаад сонгуульд оролцож байгаа нь хуульд нийцсэн явдал мөн үү? Үндсэн хуулийн Цэцээр саяхан Улс төрийн нам байгуулагдаад  сар болж байж бүх шатны сонгуульд оролцож болно гэсэн заалт Монгол Улсын Үндсэн хуулийн  дугаар зүйлийн  дэх хэсгийн ""Төрийн#0000000032 байгууллагад сонгох сонгогдох эрхтэй"" гэсэн заалтыг зөрчиж байна гэсэн дүгнэлт гаргасан",47,төр
t0000000033,"Шинэ намууд дөнгөж байгуулагдаад сонгуульд оролцож байгаа нь хуульд нийцсэн явдал мөн үү? Үндсэн хуулийн Цэцээр саяхан Улс төрийн нам байгуулагдаад  сар болж байж бүх шатны сонгуульд оролцож болно гэсэн заалт Монгол Улсын Үндсэн хуулийн  дугаар зүйлийн  дэх хэсгийн ""Төрийн байгууллагад сонгох сонгогдох эрхтэй"" гэсэн заалтыг зөрчиж байна гэсэн дүгнэлт гаргасан#0000000033",18,гар
t0000000034, Миний баруун гар#0000000034 даа гэж Итгэлт хөндий дуугаар ам нийлэн онгирон хэлэв.,17,гар
t0000000035, Миний баруун гар даа гэж Итгэлт хөндий#0000000035 дуугаар ам нийлэн онгирон хэлэв.,59,хөндий
t0000000036, Миний баруун гар даа гэж Итгэлт хөндий дуугаар ам#0000000036 нийлэн онгирон хэлэв.,3,ам
t0000000037,Хар дээлтэй шар лам чи хамт явалцана уу ч хэмээн ширүүн сахалтын нүдээ#0000000037 үзүүлэхэд тулганы зүүнтэйх мухар толгойт:,37,нүд
t0000000038,"Тэгвэл ирэх даваа гаригт тэдний  хоногийн турш хичээн зүтгэсний үр дүн гарч цорын ганц ялагч тодорч, суудлын авто машин, ""ХХ Ldy miss"" өргөмжлөл гардаж авах#0000000038 юм байна",1,ав
t0000000039,Шоунд оролцогч бүсгүйчүүдийн зорилго нь суудлын авто машин хожих гэдэгтэй та санал нийлэх үү? Хүн бүр биднийг машин авахын#0000000039 тулд л энэ шоунд оролцож байгаа гэж бодож байгаа байх,1,ав
t0000000040,"Хүссэн зорьсондоо хүрч, илүүдэл жингээ хасч чадсан нь л миний хамгийн гол#0000000040 зорилго",19,гол
t0000000041,Шоуг дуусгаад та юу хийх#0000000041 вэ? -Би эмч мэргэжилтэй,54,хий
t0000000042,Мэдээж ажлаа хийнэ#0000000042,54,хий
t0000000043,"Эсэргүүцэл муутай хүн бол тохойноос болж суганы булчирхай цочиж, өрөөсөн гар#0000000043 хөдөлж чадахаа байн бүх бие янгинана",17,гар
t0000000044,Өндрөөс нам руу гадаргын болоод гүний#0000000044 бүх л ус шингэн биет урсан одох нь хууль,22,гүн
t0000000045,Тэгэхээр эрүүл#0000000045 байгаль Монголын ирээдүй юм,68,эрүүл
t0000000046,"Нийгэм  улс төрийн#0000000046 амьдралд ч нийгмийн гишүүдийн баримжаа, идэвхтэй байр суурь улам рольтой болж байна",47,төр
t0000000047,"Нийгэм  улс төрийн амьдралд ч нийгмийн гишүүдийн баримжаа, идэвхтэй байр#0000000047 суурь улам рольтой болж байна",10,байр
t0000000048,Итгэлтийн ачаар нэрж байгаа юм бол та олон жил хонийг нь хариулж байхдаа л нэрж байхгүй яасан юм бэ? гэж Эрдэнэ өвгөнийг зальтай нүдээр#0000000048 харлаа.,37,нүд
t0000000049,"Хадгаламж зээлийн хоршоо (ХЗХ)ны хохирогчид алдсан мөнгөө#0000000049 олж авах олон арга хэрэглэж басхүү олон замаар төр, засаг руу хандаж байна",33,мөнгө
t0000000050,"Хадгаламж зээлийн хоршоо (ХЗХ)ны хохирогчид алдсан мөнгөө олж авах#0000000050 олон арга хэрэглэж басхүү олон замаар төр, засаг руу хандаж байна",1,ав
t0000000051,"Хадгаламж зээлийн хоршоо (ХЗХ)ны хохирогчид алдсан мөнгөө олж авах олон арга хэрэглэж басхүү олон замаар төр,#0000000051 засаг руу хандаж байна",47,төр
t0000000052,Баярын од харвасан гээд том шүдээ яралзуулан инээснээ шууд мордож баруун гүвээ өөд мориныхоо хурдаар гарч#0000000052 Тужийн нарсны зүг удтал ширтэн зогсож билээ,16,гар
t0000000053,Хоёул шатаар чимээгүйхэн уруудан гадаа гарч#0000000053 ирээд,16,гар
t0000000054,"Эндхийн сурагчид хавар, зун, намар мал аж ахуй, газар тариалангийн үйлдвэрлэлийн чиглэлээр ажиллаж, өвөл дээрх ажлын техник, технологийн хичээлийг зохих кабинет, техник засварын ажлыг түшиглэн хийдэг#0000000054 байна",54,хий
t0000000055,"Тэрбээр адал явдалт туужуудад хийсэн#0000000055 ""Төгс аллага"" судалгааны бүтээлээрээ ""Америкийн нууцыг зохиогчид"" байгууллагын Эдгар Погийн нэрэмжит шагналд дэвшиж байжээ",54,хий
t0000000056,Аврах албаны хүмүүс нисэгчдийг бүхээгнээс гарахад#0000000056 нь тусалжээ,16,гар
t0000000057,Гэтэл Атархүү араас гарч#0000000057 ирээд тас тас хөхөрч,16,гар
t0000000058,"Нарийн мэргэжлийн эмч, сувилагч, эмийн#0000000058 сан, урлаг соёлын бригадуудыг төв суурингаас зохион байгуулж, хадланч, тариаланч, отор, саалийн тасаг, фермийнхэнд тодорхой маршрутаар үйлчлуүлэхийн хамт ажлын явцад тавих гүйцэтгэлийн хяналтыг холбогдох яам, газрууд дайчин шуурхай хийх  хэрэгтэн байна",66,эм
t0000000059,"Нарийн мэргэжлийн эмч, сувилагч, эмийн сан, урлаг соёлын бригадуудыг төв суурингаас зохион байгуулж, хадланч, тариаланч, отор, саалийн тасаг, фермийнхэнд тодорхой маршрутаар үйлчлуүлэхийн хамт ажлын явцад тавих гүйцэтгэлийн хяналтыг холбогдох яам, газрууд дайчин шуурхай хийх#0000000059  хэрэгтэн байна",54,хий
t0000000060,Үнэндээ би энэ замын зураг төсөл хийхэд#0000000060 хөндлөнгийн хүн шиг байсан минь тоогүй юм боллоо,54,хий
t0000000061,"Төрөл бүрийн хичнээн их тэжээл байлаа ч малыг усаар сойвол тэр их үнэт тэжээлийн үр дүн гарахгүй#0000000061 учраас малчин бүр уст цэг худаг ажилтай байгаасай гэж хүсдэг, усжуулагч бур гаргасан уст цэгээ бүрэн бүтэн байлгаж ашиглуулахыг эрхэмлэдэг нь зүйн хэрэг",16,гар
t0000000062,"Төрөл бүрийн хичнээн их тэжээл байлаа ч малыг усаар сойвол тэр их үнэт тэжээлийн үр дүн гарахгүй учраас малчин бүр уст цэг худаг ажилтай байгаасай гэж хүсдэг, усжуулагч бур гаргасан#0000000062 уст цэгээ бүрэн бүтэн байлгаж ашиглуулахыг эрхэмлэдэг нь зүйн хэрэг",16,гар
t0000000063,"хэмжих хэрэгслийг үйлдвэрлэх, суурилуулах, засварлах, худалдах /Энэ заалтад  оны  дугаар сарын#0000000063 15-ны өдрийн хуулиар нэмэлт орсон ба 2005 оны 1 дүгээр сарын 27-ны өдрийн хуулиар хүчингүй болсонд тооцсон/;",43,сар
t0000000064,"хэмжих хэрэгслийг үйлдвэрлэх, суурилуулах, засварлах, худалдах /Энэ заалтад  оны  дугаар сарынны өдрийн хуулиар нэмэлт орсон ба  оны  дүгээр сарын#0000000064 27-ны өдрийн хуулиар хүчингүй болсонд тооцсон/;",43,сар
t0000000065,Үзэсгэлэнт эмс#0000000065 тайзан дээр гарч зэрэгцэн зогсов,67,эм
t0000000066,Үзэсгэлэнт эмс тайзан дээр гарч#0000000066 зэрэгцэн зогсов,16,гар
t0000000067,Учир нь тэд эх орноосоо сард  гаруй төгрөгийн тэтгэлэг авна#0000000067,1,ав
t0000000068,"Багш нар нь тэдэнд ""Номыг нь сурдаггүй юм гэхэд номхоныг нь сураад гараарай#0000000068 гэж захида байсантай холбоотой аж",16,гар
t0000000069,Мөн гандангийн гаднах талбайн хогийг шүүрдэх гээд тэдэнд хийх#0000000069 ажил мундахгүй,54,хий
t0000000070,"мал эмнэлэг, ариун цэвэр, эрүүл#0000000070 ахуйн шаардлагыг хангахгүй байранд эмийн сангийн үйл ажиллагаа эрхлэх, малын гаралтай түүхий эд, хүнсний бүтээгдэхүүн, малын тэжээл бэлтгэх, боловсруулах, хадгалахыг хориглох; /Энэ заалтад 2007 оны 11 дүгээр сарын 15-ны өдрийн хуулиар нэмэлт орсон/",68,эрүүл
t0000000071,"мал эмнэлэг, ариун цэвэр, эрүүл ахуйн шаардлагыг хангахгүй байранд#0000000071 эмийн сангийн үйл ажиллагаа эрхлэх, малын гаралтай түүхий эд, хүнсний бүтээгдэхүүн, малын тэжээл бэлтгэх, боловсруулах, хадгалахыг хориглох; /Энэ заалтад 2007 оны 11 дүгээр сарын 15-ны өдрийн хуулиар нэмэлт орсон/",9,байр
t0000000072,"мал эмнэлэг, ариун цэвэр, эрүүл ахуйн шаардлагыг хангахгүй байранд эмийн#0000000072 сангийн үйл ажиллагаа эрхлэх, малын гаралтай түүхий эд, хүнсний бүтээгдэхүүн, малын тэжээл бэлтгэх, боловсруулах, хадгалахыг хориглох; /Энэ заалтад 2007 оны 11 дүгээр сарын 15-ны өдрийн хуулиар нэмэлт орсон/",66,эм
t0000000073,"мал эмнэлэг, ариун цэвэр, эрүүл ахуйн шаардлагыг хангахгүй байранд эмийн сангийн үйл ажиллагаа эрхлэх, малын гаралтай түүхий эд, хүнсний бүтээгдэхүүн, малын тэжээл бэлтгэх, боловсруулах, хадгалахыг хориглох; /Энэ заалтад  оны  дүгээр сарын#0000000073 15-ны өдрийн хуулиар нэмэлт орсон/",43,сар
t0000000074,Үрээ омогшин нилээд булгисан боловч шүд зуусан#0000000074 Бат дахин шороодсонгүй шанаа руу нь ташуураар цохин залсаар хошуу захиргаа руу явлаа.,30,зуу
t0000000075,"/Энэ заалтад  оны  дугаар сарын#0000000075 21-ний өдрийн хуулиар нэмэлт орсон ба 1994 оны 1 дүгээр сарын 12-ны өдрийн хуулиар ""22"" гэснийг хассан/",43,сар
t0000000076,"/Энэ заалтад  оны  дугаар сарынний өдрийн хуулиар нэмэлт орсон ба  оны  дүгээр сарын#0000000076 12-ны өдрийн хуулиар ""22"" гэснийг хассан/",43,сар
t0000000077,"Хуучин социалист орнуудын зарим академи төсвөөс ""тэжээгдэн"" амьдарсаар байгаа нь эдгээр академиуд тухайн нийгмийнхээ элит давхарга байсны хувьд шийдвэр гаргах#0000000077 төвшинд лоббидох чадамжаа одоо ч алдаагүй байгаатай холбоотой",16,гар
t0000000078,"Нэг нь байр#0000000078 руу дайрлаа гэж гомдол нэхэж, нөгөө нь яллагдагчаар татагдлаа гэж мэдэгдээд буй МАХН болон Иргэний хөдөлгөөнийхөн өчигдөр уулзалдлаа",9,байр
t0000000079,"Зохиолыг нь уншиж, жүжиг, киног нь үзсэн хүмүүс ямар их ухаарал, гэгээрэл авсаныг хараахан хэлж үл чадах ч хүн бүхний амнаас#0000000079 гардаг олон сайхан оноч үгийг их бичгийн энэ хүн үлдээж чаджээ",3,ам
t0000000080,"Зохиолыг нь уншиж, жүжиг, киног нь үзсэн хүмүүс ямар их ухаарал, гэгээрэл авсаныг хараахан хэлж үл чадах ч хүн бүхний амнаас гардаг#0000000080 олон сайхан оноч үгийг их бичгийн энэ хүн үлдээж чаджээ",16,гар
t0000000081,"Эхээсээ өнчирч, аав нь дөрвөн дүүтэй нь амьдын хагацалд унаган хаяж явсны дараа амьдралын төлөө зүтгэдэг Гарын таван хуруу"" киноны Сүрэн бүсгүйн ""Энэ амьдралд чинь муугаасаа сайн хүн нь олон байдаг юм шүү"" гэдэг үг хорвоог дандаа л хараар будаж болдоггүй гүн#0000000081 ухаарлыг хэн хүнд өгөх байх",24,гүн
t0000000082,Долгорыг Тамирын голд#0000000082 үйхэд Лодойдамба гуай өөрөө уйлж байсан гэдэг,20,гол
t0000000083,"Соёлын яамны орлогч сайдын нөр их ажлын зав зайгаар уран бүтээлээ хийхийн#0000000083  тулд унтах нойроо ч хугаслаж байсан нь тэр байжээ"" гэж дурссан байдаг",54,хий
t0000000084,"Ч.Лодойдамба гуай бол ""Манай сургуулийнхан"", ""Алтайд"", ""Тунгалаг Тамир"", ""Хугараагүй ноён нуруу""#0000000084 зэрэг хэзээд гандан бууршгүй олон арван зохиолыг ард түмэндээ өвлөн үлдээсэн гайхамшигтай хүн гэдгийг монголчууд хэлүүлэлтгүй мэднэ",35,нуруу
t0000000085,"Чухамхүү бүх шатны АДХ нь ард түмнээс шууд үүсч байгуулагдаад манай орны нийт хөдөлмөрчнийг төрийн#0000000085 ёсноо нэгтгэж, тэдний гарт байгаа засгийн эрхийг төлөөлөн хэрэгжүүлж, төрийн аппаратыг бүхэлд нь тэргүүлэн эдийн засаг, соёлын амьдралыг эрхлэн хөтлөх нөхцөл бүрдүүлж байдгаараа манай төр-нийгмийн байгууллын улс төрийн үндэс, содиалист ардчилал, ард түмний өөрөө удирдах ёсны гол хэлбэр, ардын жинхэнэ засаглал мөн",47,төр
t0000000086,"Чухамхүү бүх шатны АДХ нь ард түмнээс шууд үүсч байгуулагдаад манай орны нийт хөдөлмөрчнийг төрийн ёсноо нэгтгэж, тэдний гарт#0000000086 байгаа засгийн эрхийг төлөөлөн хэрэгжүүлж, төрийн аппаратыг бүхэлд нь тэргүүлэн эдийн засаг, соёлын амьдралыг эрхлэн хөтлөх нөхцөл бүрдүүлж байдгаараа манай төр-нийгмийн байгууллын улс төрийн үндэс, содиалист ардчилал, ард түмний өөрөө удирдах ёсны гол хэлбэр, ардын жинхэнэ засаглал мөн",17,гар
t0000000087,"Чухамхүү бүх шатны АДХ нь ард түмнээс шууд үүсч байгуулагдаад манай орны нийт хөдөлмөрчнийг төрийн ёсноо нэгтгэж, тэдний гарт байгаа засгийн эрхийг төлөөлөн хэрэгжүүлж, төрийн#0000000087 аппаратыг бүхэлд нь тэргүүлэн эдийн засаг, соёлын амьдралыг эрхлэн хөтлөх нөхцөл бүрдүүлж байдгаараа манай төр-нийгмийн байгууллын улс төрийн үндэс, содиалист ардчилал, ард түмний өөрөө удирдах ёсны гол хэлбэр, ардын жинхэнэ засаглал мөн",47,төр
t0000000088,"Чухамхүү бүх шатны АДХ нь ард түмнээс шууд үүсч байгуулагдаад манай орны нийт хөдөлмөрчнийг төрийн ёсноо нэгтгэж, тэдний гарт байгаа засгийн эрхийг төлөөлөн хэрэгжүүлж, төрийн аппаратыг бүхэлд нь тэргүүлэн эдийн засаг, соёлын амьдралыг эрхлэн хөтлөх нөхцөл бүрдүүлж байдгаараа манай төрнийгмийн#0000000088 байгууллын улс төрийн үндэс, содиалист ардчилал, ард түмний өөрөө удирдах ёсны гол хэлбэр, ардын жинхэнэ засаглал мөн",47,төр
t0000000089,"Чухамхүү бүх шатны АДХ нь ард түмнээс шууд үүсч байгуулагдаад манай орны нийт хөдөлмөрчнийг төрийн ёсноо нэгтгэж, тэдний гарт байгаа засгийн эрхийг төлөөлөн хэрэгжүүлж, төрийн аппаратыг бүхэлд нь тэргүүлэн эдийн засаг, соёлын амьдралыг эрхлэн хөтлөх нөхцөл бүрдүүлж байдгаараа манай төрнийгмийн байгууллын улс төрийн#0000000089 үндэс, содиалист ардчилал, ард түмний өөрөө удирдах ёсны гол хэлбэр, ардын жинхэнэ засаглал мөн",47,төр
t0000000090,Би ийм хачин билетээр яаж кинонд ордгийг бодож олж чадахгүй байтал Гонгор онигор нүдээ#0000000090 зальтайгаар инээмсэглэж дундаа зайтай үүдэн шүдээ гаргаж ярзайлгаад чихэнд шивнэж учрыг тайлбарлав,37,нүд
t0000000091,Би ийм хачин билетээр яаж кинонд ордгийг бодож олж чадахгүй байтал Гонгор онигор нүдээ зальтайгаар инээмсэглэж дундаа зайтай үүдэн шүдээ гаргаж#0000000091 ярзайлгаад чихэнд шивнэж учрыг тайлбарлав,16,гар
t0000000092,"Гүнтэв гуай нэг юм гагнан, төмрийн ис, тортгонд дарагдан, хар дээрээ улам хар болчихсон юм шиг, гэвч хийн#0000000092 гагнуурын үе үе сацрах гэрэлд нүүр нь гялалзан, хөлс нь арчих завгүйг мэдсэн юм шиг хоёр хацры нь даган урсах ажээ.",55,хий
t0000000093,"Гүнтэв гуай нэг юм гагнан, төмрийн ис, тортгонд дарагдан, хар дээрээ улам хар болчихсон юм шиг, гэвч хийн гагнуурын үе үе сацрах гэрэлд нүүр#0000000093 нь гялалзан, хөлс нь арчих завгүйг мэдсэн юм шиг хоёр хацры нь даган урсах ажээ.",39,нүүр
t0000000094,"Жамбал нээлттэй гэгээвч рүү ажиглан, нүдээ#0000000094 цавчлан суув",37,нүд
t0000000095,"Тэр дундуур Дорж, сэжиглэх сэтгэл огтгүй, харин ч баяр бахдал болсон бөгөөд, ганц хань болох шатныхаа хугархайг ардаа аван#0000000095 нуруу үүрэн явснаа, үрэгдсэн аав, ээж, ураг төрлүүдтэйгээр барахгүй амьдрах, амраглах дур хүсэлтэй болохы нь санан хөөрхийлөх сэтгэл төрөв",1,ав
t0000000096,"Тэр дундуур Дорж, сэжиглэх сэтгэл огтгүй, харин ч баяр бахдал болсон бөгөөд, ганц хань болох шатныхаа хугархайг ардаа аван нуруу#0000000096 үүрэн явснаа, үрэгдсэн аав, ээж, ураг төрлүүдтэйгээр барахгүй амьдрах, амраглах дур хүсэлтэй болохы нь санан хөөрхийлөх сэтгэл төрөв",35,нуруу
t0000000097,"Тэр дундуур Дорж, сэжиглэх сэтгэл огтгүй, харин ч баяр бахдал болсон бөгөөд, ганц хань болох шатныхаа хугархайг ардаа аван нуруу үүрэн явснаа, үрэгдсэн аав, ээж, ураг төрлүүдтэйгээр барахгүй амьдрах, амраглах дур хүсэлтэй болохы нь санан хөөрхийлөх сэтгэл төрөв#0000000097",48,төр
t0000000098,"Тухайлбал галт тэрэгний#0000000098 тоо, рейсийг нэмэх шийдвэр гаргахад нөгөө талуудтай ярьж байж шийд гардаг нь цаг хугацаа нэлээд шаарддаг",52,тэрэг
t0000000099,"Тухайлбал галт тэрэгний тоо, рейсийг нэмэх шийдвэр гаргахад нөгөө талуудтай ярьж байж шийд гардаг#0000000099 нь цаг хугацаа нэлээд шаарддаг",16,гар
t0000000100,Дээр нь яг энэ удаагийн сонгуулиас эхлэн Монгол Улсад шударга ёс тогтож эхлэх нь гэсэн найдвар улс төр#0000000100 судлаачдын олонхид төрөөд байна,47,төр
t0000000101,Дээр нь яг энэ удаагийн сонгуулиас эхлэн Монгол Улсад шударга ёс тогтож эхлэх нь гэсэн найдвар улс төр судлаачдын олонхид төрөөд#0000000101 байна,48,төр
