synset_id,word,meaning,word_len
29,зуу,"Ер дээр арвыг нэмсэн нь: зуу дахь
урт удаан он жил, олон жил",3
30,зуу,"Аливаа амьтны шүд, амаар үмхэх, хазах:",3
31,зүрх,"хоёр уушгины хооронд, өвчүүний хойно байрлах хөндий, булчинлаг эрхтэн.",4
32,зүрх,эрэлхэг зориг; зориг; зүрх,4
33,мөнгө,мөнгөний тоо; хэмжээ; мөнгө,5
34,мөнгө,мөнгө; алт; алт шиг,5
35,нуруу,нуруу; ноён нуруу; нурууны яс,5
36,нуруу,нуруу; уулын шил,5
37,нүд,"Хүн, амьтны харах эрхтэн",3
38,нүд,ороолго; занч; нүд; зод,3
39,нүүр,нүүр; царай,4
40,нүүр,хуудас; тал; нүүр,4
41,салбар,газар; хүрээ; салбар; талбар,6
42,салбар,хэсэг; анги; тасаг; салбар; хэлтэс тасаг,6
43,сар,он цаг тоолол,3
44,сар,Дэлхийн бөмбөрцгийг тойрон эргэж нарны гэрлийг ойлгодог тэнгэрийн эрхэс,3
45,сум,сум; бууны сум,3
46,сум,нум сум,3
47,төр,"Нийгэмд удирдлага, нийтлэг засаглалыг хэрэгжүүлдэг улс төрийн байгуулал
Улс төрийн албаны ангилал
Нэр сүр, алдар нэр",3
48,төр,"Хүүхэд эхээс гарах Бий болох, 
үүсэх, гарч ирэх 
Амьдрах",3
49,түүх,түүх; түүхийн ухаан,4
50,түүх,үлгэр; хүүрнэл; түүх; яриа,4
51,түүх,түүж авах; цуглуулах; түүх; хураах; хамж авах,4
52,тэрэг,машин; тээврийн хэрэгсэл; тэрэг,5
53,тэрэг,"тэрэг тоноглол, техник",5
54,хий,"ажил хийх, үйлдэх, хөдөлмөрлөх, ажиллах",3
55,хий,хий хоосон,3
56,хий,"агаар, газ, агаар мандал",3
57,хий,"Хувцас, эдлэл бүтээх, дээл хийх",3
58,хөндий,Уул нуруу,6
59,хөндий,"хөндий; хүйтэн, хоолой",6
60,хураа,"Сонгуулийн санал хураах
Ургаж гүйцсэн тариа зэргийг хадаж авах",5
61,хураа,"Хуулийн хүрээнд  хадгалах, хуримтлуулах,",5
62,хэлбэр,"Юмны хийсэн байдал нь чанартай биш, өнгөцхөн: хэлбэр төдий (а. Бодит агуулгагүй гадар байдал төдий;",6
63,хэлбэр,"Хүн, амьтан, юмны гадаад байдал, дүрс, маяг янз:",6
64,шат,"[шилжсэн] Үе, зэрэг дэв, алхам: анхан шат (анхны үе), шат ахих (зэрэг дэв ахих, сайжрах)",3
65,шат,"Төмөр, мод, чулуу зэргээр хийсэн, өндөр өөд авирах, буухад хэрэглэх хэрэгсэл:",3
66,эм,Өвчнийг эмчлэхэд ерөндөг болгон хэрэглэх зүйлийн ерөнхий нэр,2
67,эм,"Эр гэдгийн эсрэг утга; эр биш бэлгэ бүхий хүн, амьтан, эмэгтэй хүн",2
68,эрүүл,Хүн амьтан өвчин эмгэггүй чийрэг цовоо сэргэлэн байдал,5
69,эрүүл,"Согтууруулах ундаа хэрэглээгүй, ухаан санаа хэвийн:",5
